Id,code_module_x,code_presentation_x_x,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,score,final_result
34,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,85,Withdrawn
35,AAA,2014J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,85,Pass
36,AAA,2014J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,85,Pass
37,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,65,Withdrawn
38,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,65,Withdrawn
39,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,65,Withdrawn
40,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,65,Withdrawn
41,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,65,Withdrawn
42,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,65,Withdrawn
43,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,65,Withdrawn
44,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,65,Withdrawn
45,AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,76,Withdrawn
46,AAA,2013J,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,76,Withdrawn
47,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,76,Withdrawn
48,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,76,Withdrawn
49,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,1,60,76,Pass
50,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,1,60,76,Pass
51,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,68,Withdrawn
52,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,68,Withdrawn
53,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,65,Withdrawn
54,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,65,Withdrawn
55,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,1,180,65,Pass
56,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,1,180,65,Pass
57,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,55,Withdrawn
58,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,55,Withdrawn
59,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,55,Withdrawn
60,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,55,Withdrawn
61,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,55,Withdrawn
62,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,55,Withdrawn
63,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,55,Withdrawn
64,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,55,Withdrawn
65,AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,51,Withdrawn
66,AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,51,Withdrawn
67,AAA,2014J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,120,51,Fail
68,AAA,2014J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,120,51,Fail
69,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,70,Withdrawn
70,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,70,Withdrawn
71,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,70,Withdrawn
72,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,70,Withdrawn
73,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,70,Withdrawn
74,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,70,Withdrawn
75,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,70,Withdrawn
76,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,70,Withdrawn
77,AAA,2013J,F,South Region,HE Qualification,90-100%,35-55,0,60,84,Withdrawn
78,AAA,2013J,F,South Region,HE Qualification,90-100%,35-55,0,60,84,Withdrawn
79,AAA,2014J,F,South Region,HE Qualification,90-100%,35-55,1,60,84,Distinction
80,AAA,2014J,F,South Region,HE Qualification,90-100%,35-55,1,60,84,Distinction
81,AAA,2013J,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,36,Withdrawn
82,AAA,2013J,F,South West Region,A Level or Equivalent,0-10%,0-35,0,240,36,Withdrawn
83,AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,86,Withdrawn
84,AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,86,Withdrawn
85,AAA,2014J,F,South East Region,A Level or Equivalent,20-30%,0-35,1,60,86,Pass
86,AAA,2014J,F,South East Region,A Level or Equivalent,20-30%,0-35,1,60,86,Pass
87,AAA,2013J,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,75,Withdrawn
88,AAA,2013J,F,West Midlands Region,HE Qualification,70-80%,0-35,0,60,75,Withdrawn
89,AAA,2014J,F,West Midlands Region,HE Qualification,70-80%,0-35,1,60,75,Pass
90,AAA,2014J,F,West Midlands Region,HE Qualification,70-80%,0-35,1,60,75,Pass
91,AAA,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,75,Withdrawn
92,AAA,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,75,Withdrawn
93,AAA,2014J,M,Scotland,A Level or Equivalent,0-10%,0-35,1,90,75,Pass
94,AAA,2014J,M,Scotland,A Level or Equivalent,0-10%,0-35,1,90,75,Pass
95,AAA,2013J,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,67,Withdrawn
96,AAA,2013J,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,67,Withdrawn
97,AAA,2014J,M,West Midlands Region,HE Qualification,0-10%,35-55,1,60,67,Fail
98,AAA,2014J,M,West Midlands Region,HE Qualification,0-10%,35-55,1,60,67,Fail
99,AAA,2013J,M,South West Region,HE Qualification,80-90%,0-35,0,120,39,Withdrawn
100,AAA,2013J,M,South West Region,HE Qualification,80-90%,0-35,0,120,39,Withdrawn
101,AAA,2013J,M,South East Region,HE Qualification,90-100%,35-55,0,60,86,Withdrawn
102,AAA,2013J,M,South East Region,HE Qualification,90-100%,35-55,0,60,86,Withdrawn
103,AAA,2013J,M,South East Region,HE Qualification,90-100%,35-55,0,60,86,Withdrawn
104,AAA,2013J,M,South East Region,HE Qualification,90-100%,35-55,0,60,86,Withdrawn
105,AAA,2014J,M,South East Region,HE Qualification,90-100%,35-55,1,60,86,Withdrawn
106,AAA,2014J,M,South East Region,HE Qualification,90-100%,35-55,1,60,86,Withdrawn
107,AAA,2014J,M,South East Region,HE Qualification,90-100%,35-55,1,60,86,Withdrawn
108,AAA,2014J,M,South East Region,HE Qualification,90-100%,35-55,1,60,86,Withdrawn
109,AAA,2013J,F,Scotland,HE Qualification,30-40%,0-35,0,60,85,Withdrawn
110,AAA,2013J,F,Scotland,HE Qualification,30-40%,0-35,0,60,85,Withdrawn
111,AAA,2013J,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,82,Withdrawn
112,AAA,2013J,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,82,Withdrawn
113,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,66,Withdrawn
114,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,66,Withdrawn
115,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,1,60,66,Pass
116,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,1,60,66,Pass
117,AAA,2013J,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,68,Withdrawn
118,AAA,2013J,F,North Western Region,Lower Than A Level,50-60%,35-55,0,60,68,Withdrawn
119,AAA,2013J,M,South Region,Lower Than A Level,30-40%,35-55,0,75,65,Withdrawn
120,AAA,2013J,M,South Region,Lower Than A Level,30-40%,35-55,0,75,65,Withdrawn
121,AAA,2013J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,78,Withdrawn
122,AAA,2013J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,78,Withdrawn
123,AAA,2014J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,1,120,78,Pass
124,AAA,2014J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,1,120,78,Pass
125,AAA,2013J,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,30,Withdrawn
126,AAA,2013J,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,30,Withdrawn
127,AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,60,Withdrawn
128,AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,60,Withdrawn
129,AAA,2014J,F,London Region,Lower Than A Level,30-40%,35-55,1,60,60,Fail
130,AAA,2014J,F,London Region,Lower Than A Level,30-40%,35-55,1,60,60,Fail
131,AAA,2013J,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,65,Withdrawn
132,AAA,2013J,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,65,Withdrawn
133,AAA,2014J,M,London Region,A Level or Equivalent,50-60%,35-55,1,60,65,Pass
134,AAA,2014J,M,London Region,A Level or Equivalent,50-60%,35-55,1,60,65,Pass
135,AAA,2013J,F,South Region,A Level or Equivalent,80-90%,35-55,0,120,71,Withdrawn
136,AAA,2013J,F,South Region,A Level or Equivalent,80-90%,35-55,0,120,71,Withdrawn
137,AAA,2013J,F,East Midlands Region,HE Qualification,20-30%,35-55,0,60,11,Withdrawn
138,AAA,2013J,F,East Midlands Region,HE Qualification,20-30%,35-55,0,60,11,Withdrawn
139,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,180,68,Withdrawn
140,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,180,68,Withdrawn
141,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,68,Pass
142,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,68,Pass
143,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,75,Withdrawn
144,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,75,Withdrawn
145,AAA,2013J,M,Scotland,HE Qualification,20-30%,0-35,0,120,77,Withdrawn
146,AAA,2013J,M,Scotland,HE Qualification,20-30%,0-35,0,120,77,Withdrawn
147,AAA,2013J,M,London Region,A Level or Equivalent,Oct-20,35-55,0,120,51,Withdrawn
148,AAA,2013J,M,London Region,A Level or Equivalent,Oct-20,35-55,0,120,51,Withdrawn
149,AAA,2014J,M,London Region,A Level or Equivalent,Oct-20,35-55,1,60,51,Fail
150,AAA,2014J,M,London Region,A Level or Equivalent,Oct-20,35-55,1,60,51,Fail
151,AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,120,62,Withdrawn
152,AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,120,62,Withdrawn
153,AAA,2013J,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,64,Withdrawn
154,AAA,2013J,M,North Western Region,A Level or Equivalent,70-80%,0-35,0,60,64,Withdrawn
155,AAA,2014J,M,North Western Region,A Level or Equivalent,70-80%,35-55,1,60,64,Fail
156,AAA,2014J,M,North Western Region,A Level or Equivalent,70-80%,35-55,1,60,64,Fail
157,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,68,Withdrawn
158,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,68,Withdrawn
159,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,68,Fail
160,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,68,Fail
161,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,66,Withdrawn
162,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,66,Withdrawn
163,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,82,Withdrawn
164,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,82,Withdrawn
165,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,82,Withdrawn
166,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,82,Withdrawn
167,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,82,Withdrawn
168,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,82,Withdrawn
169,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,82,Withdrawn
170,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,82,Withdrawn
171,AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,51,Withdrawn
172,AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,51,Withdrawn
173,AAA,2014J,F,South East Region,Lower Than A Level,90-100%,35-55,1,60,51,Pass
174,AAA,2014J,F,South East Region,Lower Than A Level,90-100%,35-55,1,60,51,Pass
175,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,70,Withdrawn
176,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,70,Withdrawn
177,AAA,2014J,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,70,Pass
178,AAA,2014J,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,70,Pass
179,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,75,Withdrawn
180,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,75,Withdrawn
181,AAA,2014J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,75,Pass
182,AAA,2014J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,1,120,75,Pass
183,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,68,Withdrawn
184,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,68,Withdrawn
185,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,68,Withdrawn
186,AAA,2013J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,68,Withdrawn
187,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,68,Withdrawn
188,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,68,Withdrawn
189,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,68,Withdrawn
190,AAA,2014J,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,1,60,68,Withdrawn
191,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,70,Withdrawn
192,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,70,Withdrawn
193,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,60,Withdrawn
194,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,60,Withdrawn
195,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,60,Withdrawn
196,AAA,2013J,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,60,Withdrawn
197,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,60,Withdrawn
198,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,60,Withdrawn
199,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,60,Withdrawn
200,AAA,2014J,F,London Region,A Level or Equivalent,80-90%,35-55,1,120,60,Withdrawn
201,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,65,Withdrawn
202,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,65,Withdrawn
203,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,65,Withdrawn
204,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,65,Withdrawn
205,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,65,Withdrawn
206,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,65,Withdrawn
207,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,65,Withdrawn
208,AAA,2014J,F,South East Region,A Level or Equivalent,60-70%,0-35,1,120,65,Withdrawn
209,AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,87,Withdrawn
210,AAA,2013J,F,South East Region,A Level or Equivalent,20-30%,0-35,0,60,87,Withdrawn
211,AAA,2014J,F,South East Region,A Level or Equivalent,20-30%,0-35,1,60,87,Pass
212,AAA,2014J,F,South East Region,A Level or Equivalent,20-30%,0-35,1,60,87,Pass
213,AAA,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,80,Withdrawn
214,AAA,2013J,M,Scotland,A Level or Equivalent,0-10%,0-35,0,90,80,Withdrawn
215,AAA,2014J,M,Scotland,A Level or Equivalent,0-10%,0-35,1,90,80,Pass
216,AAA,2014J,M,Scotland,A Level or Equivalent,0-10%,0-35,1,90,80,Pass
217,AAA,2013J,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,52,Withdrawn
218,AAA,2013J,M,West Midlands Region,HE Qualification,0-10%,35-55,0,90,52,Withdrawn
219,AAA,2014J,M,West Midlands Region,HE Qualification,0-10%,35-55,1,60,52,Fail
220,AAA,2014J,M,West Midlands Region,HE Qualification,0-10%,35-55,1,60,52,Fail
221,AAA,2013J,M,South West Region,HE Qualification,80-90%,0-35,0,120,42,Withdrawn
222,AAA,2013J,M,South West Region,HE Qualification,80-90%,0-35,0,120,42,Withdrawn
223,AAA,2013J,F,Scotland,HE Qualification,30-40%,0-35,0,60,78,Withdrawn
224,AAA,2013J,F,Scotland,HE Qualification,30-40%,0-35,0,60,78,Withdrawn
225,AAA,2013J,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,62,Withdrawn
226,AAA,2013J,M,South West Region,A Level or Equivalent,80-90%,35-55,0,180,62,Withdrawn
227,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,65,Withdrawn
228,AAA,2013J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,0,60,65,Withdrawn
229,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,1,60,65,Pass
230,AAA,2014J,M,Yorkshire Region,A Level or Equivalent,20-30%,35-55,1,60,65,Pass
231,AAA,2013J,M,South Region,Lower Than A Level,30-40%,35-55,0,75,57,Withdrawn
232,AAA,2013J,M,South Region,Lower Than A Level,30-40%,35-55,0,75,57,Withdrawn
233,AAA,2013J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,90,Withdrawn
234,AAA,2013J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,0,60,90,Withdrawn
235,AAA,2014J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,1,120,90,Pass
236,AAA,2014J,M,West Midlands Region,Lower Than A Level,0-10%,35-55,1,120,90,Pass
237,AAA,2013J,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,40,Withdrawn
238,AAA,2013J,M,London Region,A Level or Equivalent,30-40%,35-55,0,330,40,Withdrawn
239,AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,53,Withdrawn
240,AAA,2013J,F,London Region,Lower Than A Level,30-40%,35-55,0,60,53,Withdrawn
241,AAA,2014J,F,London Region,Lower Than A Level,30-40%,35-55,1,60,53,Fail
242,AAA,2014J,F,London Region,Lower Than A Level,30-40%,35-55,1,60,53,Fail
243,AAA,2013J,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,62,Withdrawn
244,AAA,2013J,M,London Region,A Level or Equivalent,50-60%,35-55,0,120,62,Withdrawn
245,AAA,2014J,M,London Region,A Level or Equivalent,50-60%,35-55,1,60,62,Pass
246,AAA,2014J,M,London Region,A Level or Equivalent,50-60%,35-55,1,60,62,Pass
247,AAA,2013J,F,South Region,A Level or Equivalent,80-90%,35-55,0,120,38,Withdrawn
248,AAA,2013J,F,South Region,A Level or Equivalent,80-90%,35-55,0,120,38,Withdrawn
249,AAA,2013J,F,East Midlands Region,HE Qualification,20-30%,35-55,0,60,51,Withdrawn
250,AAA,2013J,F,East Midlands Region,HE Qualification,20-30%,35-55,0,60,51,Withdrawn
251,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,74,Withdrawn
252,AAA,2013J,M,South Region,A Level or Equivalent,90-100%,0-35,0,60,74,Withdrawn
253,AAA,2013J,M,Scotland,HE Qualification,20-30%,0-35,0,120,83,Withdrawn
254,AAA,2013J,M,Scotland,HE Qualification,20-30%,0-35,0,120,83,Withdrawn
255,AAA,2013J,F,Scotland,HE Qualification,50-60%,55<=,0,60,67,Withdrawn
256,AAA,2013J,F,Scotland,HE Qualification,50-60%,55<=,0,60,67,Withdrawn
257,AAA,2014J,F,Scotland,HE Qualification,50-60%,55<=,1,60,67,Fail
258,AAA,2014J,F,Scotland,HE Qualification,50-60%,55<=,1,60,67,Fail
259,AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,120,45,Withdrawn
260,AAA,2013J,F,South Region,HE Qualification,80-90%,35-55,0,120,45,Withdrawn
261,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,47,Withdrawn
262,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,47,Withdrawn
263,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,76,Withdrawn
264,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,76,Withdrawn
265,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,76,Withdrawn
266,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,76,Withdrawn
267,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,76,Withdrawn
268,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,76,Withdrawn
269,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,76,Withdrawn
270,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,76,Withdrawn
271,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,78,Withdrawn
272,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,78,Withdrawn
273,AAA,2014J,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,78,Pass
274,AAA,2014J,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,78,Pass
275,AAA,2013J,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,50,Withdrawn
276,AAA,2013J,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,50,Withdrawn
277,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,62,Withdrawn
278,AAA,2013J,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,62,Withdrawn
279,AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,35,Withdrawn
280,AAA,2013J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,0,180,35,Withdrawn
281,AAA,2014J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,120,35,Fail
282,AAA,2014J,M,East Anglian Region,A Level or Equivalent,30-40%,0-35,1,120,35,Fail
283,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,68,Withdrawn
284,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,68,Withdrawn
285,AAA,2013J,F,South East Region,A Level or Equivalent,60-70%,0-35,0,60,68,Withdrawn
